"Re","Im","Norm","Order"
8.4345,0,8.4345,1
6.2007,0,6.2007,2
4.1275,0,4.1275,3
2.9252,0,2.9252,4
2.7904,0,2.7904,5
1.2372,0,1.2372,6
0.9084,0,0.9084,7
0.0246,0,0.0246,8
-1.3689,0,1.3689,9
-1.7374,0,1.7374,10
-2.4809,0,2.4809,11
-2.9489,0,2.9489,12
-3.3884,0,3.3884,13
-5.4248,0,5.4248,14
-5.7422,0,5.7422,15
6.4855,0,6.4855,1
4.6447,0,4.6447,2
4.3683,0,4.3683,3
3.5359,0,3.5359,4
3.1148,0,3.1148,5
2.4788,0,2.4788,6
0.8868,0,0.8868,7
0.461,0,0.461,8
-1.5563,0,1.5563,9
-1.8995,0,1.8995,10
-2.945,0,2.945,11
-3.4251,0,3.4251,12
-4.1182,0,4.1182,13
-5.4926,0,5.4926,14
-9.2776,0,9.2776,15
6.3946,0,6.3946,1
5.6467,0,5.6467,2
5.1508,0,5.1508,3
4.1176,0,4.1176,4
2.3912,0,2.3912,5
1.2224,0,1.2224,6
0.1915,0,0.1915,7
-0.7271,0,0.7271,8
-1.4699,0,1.4699,9
-1.7084,0,1.7084,10
-2.6576,0,2.6576,11
-3.2091,0,3.2091,12
-3.9248,0,3.9248,13
-4.7634,0,4.7634,14
-6.9224,0,6.9224,15
7.7548,0,7.7548,1
5.9051,0,5.9051,2
5.0015,0,5.0015,3
4.2254,0,4.2254,4
3.8784,0,3.8784,5
2.0031,0,2.0031,6
1.2005,0,1.2005,7
-0.4505,0,0.4505,8
-0.9705,0,0.9705,9
-1.454,0,1.454,10
-3.4666,0,3.4666,11
-3.6673,0,3.6673,12
-5.2681,0,5.2681,13
-5.5032,0,5.5032,14
-6.4721,0,6.4721,15
7.0268,0,7.0268,1
5.0774,0,5.0774,2
2.9685,0,2.9685,3
2.5899,0,2.5899,4
1.0079,0,1.0079,5
0.754,0,0.754,6
-0.2851,0,0.2851,7
-0.6056,0,0.6056,8
-1.0444,0,1.0444,9
-1.5851,0,1.5851,10
-2.631,0,2.631,11
-2.7332,0,2.7332,12
-3.1506,0,3.1506,13
-4.1739,0,4.1739,14
-5.5222,0,5.5222,15
5.4348,0,5.4348,1
4.5341,0,4.5341,2
3.6416,0,3.6416,3
3.5585,0,3.5585,4
2.2945,0,2.2945,5
1.6317,0,1.6317,6
0.9926,0,0.9926,7
-0.0057,0,0.0057,8
-0.5156,0,0.5156,9
-0.5358,0,0.5358,10
-1.9692,0,1.9692,11
-3.2128,0,3.2128,12
-3.4655,0,3.4655,13
-4.5947,0,4.5947,14
-6.216,0,6.216,15
6.8769,0,6.8769,1
5.3603,0,5.3603,2
5.0624,0,5.0624,3
3.6457,0,3.6457,4
2.386,0,2.386,5
1.6919,0,1.6919,6
0.6743,0,0.6743,7
0.1455,0,0.1455,8
-1.1694,0,1.1694,9
-1.5343,0,1.5343,10
-2.0633,0,2.0633,11
-3.3592,0,3.3592,12
-3.9364,0,3.9364,13
-4.9525,0,4.9525,14
-6.1333,0,6.1333,15
6.8087,0,6.8087,1
4.9573,0,4.9573,2
3.9081,0,3.9081,3
3.0583,0,3.0583,4
1.5981,0,1.5981,5
0.6949,0,0.6949,6
0.3108,0,0.3108,7
-0.4354,0,0.4354,8
-0.6715,0,0.6715,9
-0.9804,0,0.9804,10
-2.7711,0,2.7711,11
-3.7969,0,3.7969,12
